".smooth",".type",".by",".estimate",".se","woy","elev_band","year","year_round"
"te(woy,elev_band,year)","Tensor product",NA,-0.572952163908923,0.702630378715239,1,193.939393939394,2010,2010
"te(woy,elev_band,year)","Tensor product",NA,-1.10009875029698,0.553020693497519,1,193.939393939394,2015,2015
"te(woy,elev_band,year)","Tensor product",NA,0.0946162258659984,0.286371878443545,1,193.939393939394,2020,2020
"te(woy,elev_band,year)","Tensor product",NA,-0.943238109819078,0.427472528590843,1,193.939393939394,2025,2025
"te(woy,elev_band,year)","Tensor product",NA,2.26835503682063,1.04494055741796,1,218.181818181818,2000,2000
"te(woy,elev_band,year)","Tensor product",NA,0.366561046275726,0.715035190349769,1,218.181818181818,2005,2005
"te(woy,elev_band,year)","Tensor product",NA,-0.584410013914026,0.712044335393257,1,218.181818181818,2010,2010
"te(woy,elev_band,year)","Tensor product",NA,-0.965469413346516,0.543785812408864,1,218.181818181818,2015,2015
"te(woy,elev_band,year)","Tensor product",NA,-0.0197999614070066,0.287249531626133,1,218.181818181818,2020,2020
"te(woy,elev_band,year)","Tensor product",NA,-0.772209733720529,0.413946898720307,1,218.181818181818,2025,2025
"te(woy,elev_band,year)","Tensor product",NA,1.95270220585903,1.1193457307637,1,242.424242424242,2000,2000
"te(woy,elev_band,year)","Tensor product",NA,0.232179932858065,0.746576363598788,1,242.424242424242,2005,2005
"te(woy,elev_band,year)","Tensor product",NA,-0.570068872896029,0.72403740759632,1,242.424242424242,2010,2010
"te(woy,elev_band,year)","Tensor product",NA,-0.786818172317943,0.533874658880727,1,242.424242424242,2015,2015
"te(woy,elev_band,year)","Tensor product",NA,-0.161062762588336,0.29450416257753,1,242.424242424242,2020,2020
"te(woy,elev_band,year)","Tensor product",NA,-0.588930021392286,0.402105709716978,1,242.424242424242,2025,2025
"te(woy,elev_band,year)","Tensor product",NA,1.59945629759058,1.21065067671363,1,266.666666666667,2000,2000
"te(woy,elev_band,year)","Tensor product",NA,0.116484410405778,0.789698772073131,1,266.666666666667,2005,2005
"te(woy,elev_band,year)","Tensor product",NA,-0.535921396029855,0.745569202133039,1,266.666666666667,2010,2010
"te(woy,elev_band,year)","Tensor product",NA,-0.589099841214839,0.532013994796487,1,266.666666666667,2015,2015
"te(woy,elev_band,year)","Tensor product",NA,-0.317614071704429,0.311763597188472,1,266.666666666667,2020,2020
"te(woy,elev_band,year)","Tensor product",NA,-0.4099993331722,0.400422944712467,1,266.666666666667,2025,2025
"te(woy,elev_band,year)","Tensor product",NA,1.23429732266632,1.31175361695756,1,290.909090909091,2000,2000
"te(woy,elev_band,year)","Tensor product",NA,0.0213927627925912,0.840705623295986,1,290.909090909091,2005,2005
"te(woy,elev_band,year)","Tensor product",NA,-0.48797926336975,0.776430646500074,1,290.909090909091,2010,2010
"te(woy,elev_band,year)","Tensor product",NA,-0.397322665795355,0.541250106232729,1,290.909090909091,2015,2015
"te(woy,elev_band,year)","Tensor product",NA,-0.477868653507097,0.336998450345895,1,290.909090909091,2020,2020
"te(woy,elev_band,year)","Tensor product",NA,-0.252050599409908,0.411230610363717,1,290.909090909091,2025,2025
"te(woy,elev_band,year)","Tensor product",NA,0.882556532098794,1.40994737147205,1,315.151515151515,2000,2000
"te(woy,elev_band,year)","Tensor product",NA,-0.0513479952670632,0.890686831813289,1,315.151515151515,2005,2005
"te(woy,elev_band,year)","Tensor product",NA,-0.432294645095769,0.810227488476298,1,315.151515151515,2010,2010
"te(woy,elev_band,year)","Tensor product",NA,-0.235854286921951,0.558224197583471,1,315.151515151515,2015,2015
"te(woy,elev_band,year)","Tensor product",NA,-0.630480930085196,0.364420019119183,1,315.151515151515,2020,2020
"te(woy,elev_band,year)","Tensor product",NA,-0.131358172086511,0.430124524834123,1,315.151515151515,2025,2025
"te(woy,elev_band,year)","Tensor product",NA,0.564830416052836,1.49447495456611,1,339.393939393939,2000,2000
"te(woy,elev_band,year)","Tensor product",NA,-0.102315999171551,0.931786794357096,1,339.393939393939,2005,2005
"te(woy,elev_band,year)","Tensor product",NA,-0.375469405350057,0.839931870442115,1,339.393939393939,2010,2010
"te(woy,elev_band,year)","Tensor product",NA,-0.120365493396019,0.57731474366092,1,339.393939393939,2015,2015
"te(woy,elev_band,year)","Tensor product",NA,-0.767358911532137,0.388868698848518,1,339.393939393939,2020,2020
"te(woy,elev_band,year)","Tensor product",NA,-0.0593283432641296,0.450853450895874,1,339.393939393939,2025,2025
"te(woy,elev_band,year)","Tensor product",NA,0.298303200392014,1.5574620788151,1,363.636363636364,2000,2000
"te(woy,elev_band,year)","Tensor product",NA,-0.133765081778746,0.958472944602236,1,363.636363636364,2005,2005
"te(woy,elev_band,year)","Tensor product",NA,-0.324501563675686,0.859797072392847,1,363.636363636364,2010,2010
"te(woy,elev_band,year)","Tensor product",NA,-0.0602593957210302,0.593111792662448,1,363.636363636364,2015,2015
"te(woy,elev_band,year)","Tensor product",NA,-0.882755415324691,0.406875946285355,1,363.636363636364,2020,2020
"te(woy,elev_band,year)","Tensor product",NA,-0.0438590742559893,0.468188553108799,1,363.636363636364,2025,2025
"te(woy,elev_band,year)","Tensor product",NA,0.100083778898164,1.59182536331522,1,387.878787878788,2000,2000
"te(woy,elev_band,year)","Tensor product",NA,-0.147986070084803,0.965997961341325,1,387.878787878788,2005,2005
"te(woy,elev_band,year)","Tensor product",NA,-0.28639788548293,0.864463579184288,1,387.878787878788,2010,2010
"te(woy,elev_band,year)","Tensor product",NA,-0.064800733742035,0.600413112808313,1,387.878787878788,2015,2015
"te(woy,elev_band,year)","Tensor product",NA,-0.970975024924848,0.415773505740092,1,387.878787878788,2020,2020
"te(woy,elev_band,year)","Tensor product",NA,-0.0927708734470545,0.477894891693872,1,387.878787878788,2025,2025
"te(woy,elev_band,year)","Tensor product",NA,-0.0133222055630638,1.59235810070783,1,412.121212121212,2000,2000
"te(woy,elev_band,year)","Tensor product",NA,-0.14733082535332,0.951342927687512,1,412.121212121212,2005,2005
"te(woy,elev_band,year)","Tensor product",NA,-0.268026740493943,0.850053037440601,1,412.121212121212,2010,2010
"te(woy,elev_band,year)","Tensor product",NA,-0.142666177164249,0.595416994700046,1,412.121212121212,2015,2015
"te(woy,elev_band,year)","Tensor product",NA,-1.02660706961929,0.414100783978011,1,412.121212121212,2020,2020
"te(woy,elev_band,year)","Tensor product",NA,-0.213482494760968,0.477804165023612,1,412.121212121212,2025,2025
"te(woy,elev_band,year)","Tensor product",NA,-0.039283881201813,1.56290270843025,1,436.363636363636,2000,2000
"te(woy,elev_band,year)","Tensor product",NA,-0.135554997000914,0.918823411479271,1,436.363636363636,2005,2005
"te(woy,elev_band,year)","Tensor product",NA,-0.27307339760857,0.819604055587808,1,436.363636363636,2010,2010
"te(woy,elev_band,year)","Tensor product",NA,-0.289006782458184,0.58011055863164,1,436.363636363636,2015,2015
"te(woy,elev_band,year)","Tensor product",NA,-1.05079003266991,0.404378354098716,1,436.363636363636,2020,2020
"te(woy,elev_band,year)","Tensor product",NA,-0.404172339505015,0.471604745753752,1,436.363636363636,2025,2025
"te(woy,elev_band,year)","Tensor product",NA,0.0109548526963915,1.51486849995812,1,460.606060606061,2000,2000
"te(woy,elev_band,year)","Tensor product",NA,-0.117818022597031,0.879033853472554,1,460.606060606061,2005,2005
"te(woy,elev_band,year)","Tensor product",NA,-0.302040024903814,0.782420885549532,1,460.606060606061,2010,2010
"te(woy,elev_band,year)","Tensor product",NA,-0.485447992861857,0.561508764168575,1,460.606060606061,2015,2015
"te(woy,elev_band,year)","Tensor product",NA,-1.05121155131323,0.392149121514326,1,460.606060606061,2020,2020
"te(woy,elev_band,year)","Tensor product",NA,-0.653778456370667,0.467249670656816,1,460.606060606061,2025,2025
"te(woy,elev_band,year)","Tensor product",NA,0.125546845929722,1.45894445275819,1,484.848484848485,2000,2000
"te(woy,elev_band,year)","Tensor product",NA,-0.0993403739786124,0.842206108731603,1,484.848484848485,2005,2005
"te(woy,elev_band,year)","Tensor product",NA,-0.355290394768892,0.747936603497948,1,484.848484848485,2010,2010
"te(woy,elev_band,year)","Tensor product",NA,-0.713027181471141,0.546393531721334,1,484.848484848485,2015,2015
"te(woy,elev_band,year)","Tensor product",NA,-1.03584400861107,0.382226163364163,1,484.848484848485,2020,2020
"te(woy,elev_band,year)","Tensor product",NA,-0.950837139587063,0.471375739461549,1,484.848484848485,2025,2025
"te(woy,elev_band,year)","Tensor product",NA,0.292541787710833,1.40360253684984,1,509.090909090909,2000,2000
"te(woy,elev_band,year)","Tensor product",NA,-0.085319535904978,0.816136581415784,1,509.090909090909,2005,2005
"te(woy,elev_band,year)","Tensor product",NA,-0.433125149635441,0.723700649313327,1,509.090909090909,2010,2010
"te(woy,elev_band,year)","Tensor product",NA,-0.95279208238639,0.539433169213884,1,509.090909090909,2015,2015
"te(woy,elev_band,year)","Tensor product",NA,-1.01267834028249,0.377524033368215,1,509.090909090909,2020,2020
"te(woy,elev_band,year)","Tensor product",NA,-1.28383812553523,0.487145912637521,1,509.090909090909,2025,2025
"te(woy,elev_band,year)","Tensor product",NA,0.49531657483105,1.35697464859101,1,533.333333333333,2000,2000
"te(woy,elev_band,year)","Tensor product",NA,-0.0799117636487251,0.806200939182354,1,533.333333333333,2005,2005
"te(woy,elev_band,year)","Tensor product",NA,-0.532985378684055,0.715156212688524,1,533.333333333333,2010,2010
"te(woy,elev_band,year)","Tensor product",NA,-1.18625974478986,0.543190836491669,1,533.333333333333,2015,2015
"te(woy,elev_band,year)","Tensor product",NA,-0.990545848708255,0.379427749228136,1,533.333333333333,2020,2020
"te(woy,elev_band,year)","Tensor product",NA,-1.63916225249332,0.514626921011045,1,533.333333333333,2025,2025
"te(woy,elev_band,year)","Tensor product",NA,0.710764270278043,1.32618148867371,1,557.575757575758,2000,2000
"te(woy,elev_band,year)","Tensor product",NA,-0.0858285320749908,0.814058778083491,1,557.575757575758,2005,2005
"te(woy,elev_band,year)","Tensor product",NA,-0.648344336370371,0.724049685313201,1,557.575757575758,2010,2010
"te(woy,elev_band,year)","Tensor product",NA,-1.39559842611625,0.557458324676241,1,557.575757575758,2015,2015
"te(woy,elev_band,year)","Tensor product",NA,-0.979443905137449,0.387740848285223,1,557.575757575758,2020,2020
"te(woy,elev_band,year)","Tensor product",NA,-2.00026411173833,0.551116375640567,1,557.575757575758,2025,2025
"te(woy,elev_band,year)","Tensor product",NA,0.915300341740114,1.31179622385432,1,581.818181818182,2000,2000
"te(woy,elev_band,year)","Tensor product",NA,-0.1056748943922,0.834636323879323,1,581.818181818182,2005,2005
"te(woy,elev_band,year)","Tensor product",NA,-0.772383008829735,0.745371232145825,1,581.818181818182,2010,2010
"te(woy,elev_band,year)","Tensor product",NA,-1.56302435141127,0.57749995366098,1,581.818181818182,2015,2015
"te(woy,elev_band,year)","Tensor product",NA,-0.989455772750339,0.399629956186302,1,581.818181818182,2020,2020
"te(woy,elev_band,year)","Tensor product",NA,-2.35038274895386,0.590985835857248,1,581.818181818182,2025,2025
"te(woy,elev_band,year)","Tensor product",NA,1.0853858058702,1.30822982025195,1,606.060606060606,2000,2000
"te(woy,elev_band,year)","Tensor product",NA,-0.142041480552213,0.858563677750124,1,606.060606060606,2005,2005
"te(woy,elev_band,year)","Tensor product",NA,-0.898282397451346,0.769671119209475,1,606.060606060606,2010,2010
"te(woy,elev_band,year)","Tensor product",NA,-1.67082559398195,0.596053831356143,1,606.060606060606,2015,2015
"te(woy,elev_band,year)","Tensor product",NA,-1.03063280973253,0.411082399737829,1,606.060606060606,2020,2020
"te(woy,elev_band,year)","Tensor product",NA,-2.67279105886489,0.628063257471167,1,606.060606060606,2025,2025
"te(woy,elev_band,year)","Tensor product",NA,1.20299310413972,1.31027243833617,1,630.30303030303,2000,2000
"te(woy,elev_band,year)","Tensor product",NA,-0.195773706468421,0.87894223724716,1,630.30303030303,2005,2005
"te(woy,elev_band,year)","Tensor product",NA,-1.01922534940787,0.789518082302304,1,630.30303030303,2010,2010
"te(woy,elev_band,year)","Tensor product",NA,-1.7099838670097,0.608175024899081,1,630.30303030303,2015,2015
"te(woy,elev_band,year)","Tensor product",NA,-1.10916586983823,0.420312213307994,1,630.30303030303,2020,2020
"te(woy,elev_band,year)","Tensor product",NA,-2.95485767039175,0.659566497646672,1,630.30303030303,2025,2025
"te(woy,elev_band,year)","Tensor product",NA,1.26079868489939,1.31910885447085,1,654.545454545455,2000,2000
"te(woy,elev_band,year)","Tensor product",NA,-0.264327522771779,0.895944188040792,1,654.545454545455,2005,2005
"te(woy,elev_band,year)","Tensor product",NA,-1.12839829665707,0.80405910236632,1,654.545454545455,2010,2010
"te(woy,elev_band,year)","Tensor product",NA,-1.68836522557792,0.614472864184602,1,654.545454545455,2015,2015
"te(woy,elev_band,year)","Tensor product",NA,-1.22374813292688,0.429526962708717,1,654.545454545455,2020,2020
"te(woy,elev_band,year)","Tensor product",NA,-3.19190573754263,0.687584890367427,1,654.545454545455,2025,2025
"te(woy,elev_band,year)","Tensor product",NA,1.25270881856667,1.3363478946974,1,678.787878787879,2000,2000
"te(woy,elev_band,year)","Tensor product",NA,-0.344769452167316,0.911074751895655,1,678.787878787879,2005,2005
"te(woy,elev_band,year)","Tensor product",NA,-1.21898808302566,0.813885912589435,1,678.787878787879,2010,2010
"te(woy,elev_band,year)","Tensor product",NA,-1.61577562788297,0.616622458432299,1,678.787878787879,2015,2015
"te(woy,elev_band,year)","Tensor product",NA,-1.37221134398474,0.441159815117954,1,678.787878787879,2020,2020
"te(woy,elev_band,year)","Tensor product",NA,-3.38017233848525,0.714243396520899,1,678.787878787879,2025,2025
"te(woy,elev_band,year)","Tensor product",NA,1.17263670755628,1.36206285300372,1,703.030303030303,2000,2000
