"x","predicted","std.error","conf.low","conf.high","group","group_col","variable"
-0.964,0.00200659670799828,0.262347187635119,0.00120088174797487,0.0033510812336299,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
-0.963,0.00656040561630696,0.173391208346587,0.0046790909830211,0.00919115238838186,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
-0.963,0.00200653369843157,0.262159692850666,0.00120128484906027,0.00334974907097719,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
-0.956,0.00651700153237172,0.172926781191241,0.00465228875997778,0.00912227150204169,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
-0.956,0.00200609268674987,0.260849980254943,0.00120410385897888,0.00334045664951736,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
-0.949,0.00647388274142438,0.172466780613512,0.00462559940288085,0.00905397995007929,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
-0.949,0.00200565177180237,0.259545133740977,0.00120691797921291,0.00333122158470205,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
-0.943,0.00643714944463015,0.172076044517265,0.00460281226597882,0.00899590972610879,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
-0.943,0.00200527392168102,0.258430622755301,0.00120932600887517,0.00332335157687541,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
-0.933,0.00637638690231691,0.171432163533169,0.00456501632166687,0.00890007208014585,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
-0.933,0.00200464432934154,0.256581297832557,0.00121333059893431,0.00331032903915921,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
-0.923,0.00631619427306186,0.170797554725811,0.00452744742055601,0.00880540497710229,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
-0.923,0.00200401493427712,0.254742407848212,0.00121732356694904,0.0032974245775853,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
-0.922,0.00631020615178077,0.170734607808479,0.00452370296381316,0.00879600211588763,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
